combination,balance
11113,"(6880, 321, -7330000, (1, 1, 1, 1, 3))"
21122,"(6877, 305, -5265000, (2, 1, 1, 2, 2))"
23000,"(6874, 331, -8660000, (2, 3, 0, 0, 0))"
02300,"(6873, 332, -8795000, (0, 2, 3, 0, 0))"
22112,"(6866, 296, -4150000, (2, 2, 1, 1, 2))"
21212,"(6849, 293, -3845000, (2, 1, 2, 1, 2))"
10222,"(6836, 332, -8980000, (1, 0, 2, 2, 2))"
22121,"(6834, 274, -1450000, (2, 2, 1, 2, 1))"
21221,"(6831, 287, -3155000, (2, 1, 2, 2, 1))"
30020,"(6822, 300, -4890000, (3, 0, 0, 2, 0))"
20030,"(6822, 275, -1640000, (2, 0, 0, 3, 0))"
30200,"(6820, 314, -6720000, (3, 0, 2, 0, 0))"
03002,"(6819, 309, -6075000, (0, 3, 0, 0, 2))"
02030,"(6815, 308, -5965000, (0, 2, 0, 3, 0))"
00203,"(6812, 308, -5980000, (0, 0, 2, 0, 3))"
03020,"(6809, 326, -8335000, (0, 3, 0, 2, 0))"
00302,"(6808, 321, -7690000, (0, 0, 3, 0, 2))"
12212,"(6807, 294, -4185000, (1, 2, 2, 1, 2))"
12122,"(6798, 312, -6570000, (1, 2, 1, 2, 2))"
20300,"(6795, 324, -8145000, (2, 0, 3, 0, 0))"
02003,"(6795, 304, -5545000, (0, 2, 0, 0, 3))"
12220,"(6769, 295, -4505000, (1, 2, 2, 2, 0))"
22210,"(6754, 284, -3150000, (2, 2, 2, 1, 0))"
01222,"(6751, 310, -6545000, (0, 1, 2, 2, 2))"
10032,"(6749, 273, -1745000, (1, 0, 0, 3, 2))"
32010,"(6742, 285, -3340000, (3, 2, 0, 1, 0))"
01032,"(6741, 283, -3085000, (0, 1, 0, 3, 2))"
02221,"(6739, 303, -5695000, (0, 2, 2, 2, 1))"
10320,"(6732, 292, -4300000, (1, 0, 3, 2, 0))"
03201,"(6727, 304, -5885000, (0, 3, 2, 0, 1))"
10230,"(6721, 296, -4875000, (1, 0, 2, 3, 0))"
01023,"(6713, 307, -6345000, (0, 1, 0, 2, 3))"
23010,"(6713, 299, -5305000, (2, 3, 0, 1, 0))"
20003,"(6712, 305, -6090000, (2, 0, 0, 0, 3))"
30002,"(6709, 317, -7665000, (3, 0, 0, 0, 2))"
00132,"(6707, 281, -2995000, (0, 0, 1, 3, 2))"
23001,"(6704, 322, -8340000, (2, 3, 0, 0, 1))"
02301,"(6701, 314, -7315000, (0, 2, 3, 0, 1))"
01320,"(6698, 289, -4080000, (0, 1, 3, 2, 0))"
31020,"(6690, 275, -2300000, (3, 1, 0, 2, 0))"
32100,"(6687, 296, -5045000, (3, 2, 1, 0, 0))"
00321,"(6684, 298, -5320000, (0, 0, 3, 2, 1))"
02310,"(6681, 297, -5205000, (0, 2, 3, 1, 0))"
20031,"(6681, 256, 125000, (2, 0, 0, 3, 1))"
03102,"(6680, 292, -4560000, (0, 3, 1, 0, 2))"
01230,"(6679, 294, -4825000, (0, 1, 2, 3, 0))"
03210,"(6676, 313, -7310000, (0, 3, 2, 1, 0))"
32001,"(6676, 295, -4970000, (3, 2, 0, 0, 1))"
13200,"(6670, 321, -8380000, (1, 3, 2, 0, 0))"
00231,"(6670, 303, -6040000, (0, 0, 2, 3, 1))"
02031,"(6665, 304, -6195000, (0, 2, 0, 3, 1))"
00123,"(6663, 310, -6985000, (0, 0, 1, 2, 3))"
13002,"(6662, 302, -5950000, (1, 3, 0, 0, 2))"
23100,"(6661, 313, -7385000, (2, 3, 1, 0, 0))"
31200,"(6660, 291, -4530000, (3, 1, 2, 0, 0))"
20310,"(6659, 305, -6355000, (2, 0, 3, 1, 0))"
02130,"(6659, 302, -5965000, (0, 2, 1, 3, 0))"
12300,"(6658, 314, -7530000, (1, 2, 3, 0, 0))"
01302,"(6655, 302, -5985000, (0, 1, 3, 0, 2))"
02013,"(6655, 282, -3385000, (0, 2, 0, 1, 3))"
21300,"(6652, 303, -6130000, (2, 1, 3, 0, 0))"
20130,"(6651, 284, -3665000, (2, 0, 1, 3, 0))"
30120,"(6650, 260, -550000, (3, 0, 1, 2, 0))"
13020,"(6646, 313, -7460000, (1, 3, 0, 2, 0))"
03120,"(6646, 310, -7070000, (0, 3, 1, 2, 0))"
00213,"(6639, 319, -8275000, (0, 0, 2, 1, 3))"
10023,"(6639, 313, -7495000, (1, 0, 0, 2, 3))"
12030,"(6638, 306, -6590000, (1, 2, 0, 3, 0))"
01203,"(6635, 305, -6475000, (0, 1, 2, 0, 3))"
21030,"(6635, 286, -4005000, (2, 1, 0, 3, 0))"
00312,"(6634, 316, -7910000, (0, 0, 3, 1, 2))"
03012,"(6631, 286, -4025000, (0, 3, 0, 1, 2))"
30210,"(6630, 304, -6370000, (3, 0, 2, 1, 0))"
02103,"(6630, 293, -4940000, (0, 2, 1, 0, 3))"
03021,"(6626, 304, -6390000, (0, 3, 0, 2, 1))"
10302,"(6617, 312, -7475000, (1, 0, 3, 0, 2))"
10203,"(6603, 293, -5075000, (1, 0, 2, 0, 3))"
20301,"(6595, 317, -8235000, (2, 0, 3, 0, 1))"
30201,"(6582, 299, -5960000, (3, 0, 2, 0, 1))"
30021,"(6577, 288, -4555000, (3, 0, 0, 2, 1))"
31002,"(6564, 286, -4360000, (3, 1, 0, 0, 2))"
12003,"(6556, 298, -5960000, (1, 2, 0, 0, 3))"
20013,"(6546, 299, -6140000, (2, 0, 0, 1, 3))"
30102,"(6544, 291, -5110000, (3, 0, 1, 0, 2))"
21003,"(6543, 286, -4465000, (2, 1, 0, 0, 3))"
20103,"(6540, 296, -5780000, (2, 0, 1, 0, 3))"
10321,"(6522, 285, -4440000, (1, 0, 3, 2, 1))"
12221,"(6521, 281, -3925000, (1, 2, 2, 2, 1))"
13201,"(6519, 296, -5885000, (1, 3, 2, 0, 1))"
10231,"(6516, 286, -4600000, (1, 0, 2, 3, 1))"
11032,"(6516, 273, -2910000, (1, 1, 0, 3, 2))"
30012,"(6515, 294, -5645000, (3, 0, 0, 1, 2))"
12301,"(6506, 299, -6340000, (1, 2, 3, 0, 1))"
12031,"(6505, 296, -5955000, (1, 2, 0, 3, 1))"
10132,"(6491, 274, -3165000, (1, 0, 1, 3, 2))"
13102,"(6488, 288, -5000000, (1, 3, 1, 0, 2))"
11222,"(6483, 293, -5675000, (1, 1, 2, 2, 2))"
22211,"(6483, 273, -3075000, (2, 2, 2, 1, 1))"
20131,"(6483, 263, -1775000, (2, 0, 1, 3, 1))"
13021,"(6479, 298, -6345000, (1, 3, 0, 2, 1))"
21031,"(6477, 259, -1285000, (2, 1, 0, 3, 1))"
23101,"(6471, 305, -7295000, (2, 3, 1, 0, 1))"
23011,"(6467, 294, -5885000, (2, 3, 0, 1, 1))"
13012,"(6463, 280, -4085000, (1, 3, 0, 1, 2))"
13120,"(6455, 290, -5425000, (1, 3, 1, 2, 0))"
02131,"(6454, 296, -6210000, (0, 2, 1, 3, 1))"
31120,"(6454, 248, 30000, (3, 1, 1, 2, 0))"
21310,"(6453, 291, -5565000, (2, 1, 3, 1, 0))"
01312,"(6453, 288, -5175000, (0, 1, 3, 1, 2))"
01231,"(6453, 283, -4525000, (0, 1, 2, 3, 1))"
12310,"(6450, 284, -4670000, (1, 2, 3, 1, 0))"
01132,"(6445, 279, -4045000, (0, 1, 1, 3, 2))"
11230,"(6444, 277, -3790000, (1, 1, 2, 3, 0))"
32101,"(6439, 273, -3295000, (3, 2, 1, 0, 1))"
21301,"(6438, 289, -5380000, (2, 1, 3, 0, 1))"
32011,"(6438, 269, -2780000, (3, 2, 0, 1, 1))"
12130,"(6437, 299, -6685000, (1, 2, 1, 3, 0))"
11320,"(6437, 284, -4735000, (1, 1, 3, 2, 0))"
01123,"(6433, 288, -5275000, (0, 1, 1, 2, 3))"
11302,"(6433, 286, -5015000, (1, 1, 3, 0, 2))"
32110,"(6432, 278, -3980000, (3, 2, 1, 1, 0))"
